# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	379685
#@/user_id	hotoo.rmbp
a 	啊	c=330 d=0.920128 t=379685
a 	嗄	c=1 d=7.53839e-147 t=379685
a 	阿	c=9 d=3.09177e-44 t=379685
a a 	啊啊	c=0 d=0 t=379685
a a a 	呵呵呵	c=1 d=1 t=104779
a a fa 	啊啊發	c=1 d=0 t=379685
a ai de fa di fang 	啊愛的發地方	c=1 d=1.88133e-82 t=379685
a bu 	阿布	c=1 d=0 t=379685
a da 	阿大	c=1 d=0 t=379685
a da fa fang 	阿大發放	c=1 d=0 t=379685
a di fang 	啊地方	c=4 d=4.26153e-25 t=379685
a die dai 	啊迭代	c=1 d=1 t=379234
a fan da 	阿凡達	c=1 d=1.23935e-54 t=379685
a fei 	阿飛	c=3 d=2.6306e-26 t=379685
a he 	啊和	c=1 d=4.80132e-222 t=379685
a hong 	阿訇	c=9 d=7.32029e-38 t=379685
a hong dou 	阿訇都	c=1 d=1 t=52113
a hong xia 	阿訇下	c=1 d=1 t=90325
a la 	阿拉	c=0 d=7.65883e-158 t=379685
a la bo 	阿拉伯	c=2 d=0.0652193 t=379685
a la ti 	阿拉提	c=2 d=1.59525e-156 t=379685
a li 	阿里	c=61 d=0.0146884 t=379685
a li ba ba 	阿里巴巴	c=25 d=0.869358 t=379685
a li ce 	阿里測	c=13 d=3.86784e-291 t=379685
a li lang 	阿里郎	c=34 d=3.26151e-74 t=379685
a li nei wai 	阿里內外	c=5 d=7.95886e-21 t=379685
a li nei wang 	阿里內網	c=1 d=0 t=379685
a li ri 	阿里日	c=2 d=2.53478e-60 t=379685
a li wei 	阿里味	c=3 d=1.1581e-256 t=379685
a li yun 	阿里雲	c=10 d=0.00412784 t=379685
a mi 	啊咪	c=1 d=0 t=379685
a mi 	阿侎	c=17 d=1.01826e-07 t=379685
a mi 	阿咪	c=1 d=1 t=47634
a mi 	阿米	c=1 d=6.2123e-18 t=379685
a si dun 	阿斯頓	c=0 d=0.1 t=16162
a si dun fa song da shi dai 	阿斯頓發送大時代	c=1 d=1 t=16163
a su du fa shi da fu 	啊速讀法士大夫	c=1 d=8.77328e-167 t=379685
a xiang 	阿香	c=1 d=0 t=379685
a yi 	阿姨	c=9 d=0.179066 t=379685
ai 	哎	c=42 d=2.17689e-34 t=379685
ai 	愛	c=46 d=1.17029 t=379685
ai 	艾	c=2 d=2.46993e-108 t=379685
ai cao 	艾草	c=4 d=0 t=379685
ai cheng 	愛稱	c=1 d=1.15978e-38 t=379685
ai chi 	愛吃	c=2 d=0 t=379685
ai de 	愛的	c=2 d=6.33308e-68 t=379685
ai de fa di fang 	愛的發地方	c=2 d=1.87194e-83 t=379685
ai de fang 	愛的放	c=2 d=1 t=40130
ai hao 	愛好	c=2 d=8.01896e-80 t=379685
ai hao zhe 	愛好者	c=1 d=2.15832e-139 t=379685
ai hu 	愛護	c=0 d=0.0970446 t=379685
ai hu run fa 	愛護潤髮	c=1 d=0.97531 t=379685
ai ju 	艾菊	c=2 d=1.95123 t=6537
ai long 	埃隆	c=1 d=1 t=106008
ai mei 	曖昧	c=1 d=5.12634e-81 t=379685
ai qi yi 	愛奇異	c=1 d=4.39598e-155 t=379685
ai qing 	愛情	c=19 d=3.93991e-43 t=379685
ai qing gu shi 	愛情故事	c=0 d=8.12828e-152 t=379685
ai ren 	愛人	c=1 d=0 t=379685
ai rui 	艾瑞	c=2 d=6.81549e-306 t=379685
ai shang 	愛上	c=8 d=4.00098e-165 t=379685
ai shang mian 	愛上面	c=2 d=0 t=379685
ai shi 	礙事	c=3 d=2.5417e-32 t=379685
ai shi da fa shi da fa shi de 	礙事大法師大法師的	c=1 d=1 t=52114
ai xin 	愛心	c=6 d=1.33866e-49 t=379685
ai ya 	哎呀	c=4 d=1.06434e-57 t=379685
ai yan 	礙眼	c=2 d=6.84538e-42 t=379685
ai yu 	礙於	c=1 d=1.38282e-166 t=379685
ai zi bing 	艾滋病	c=1 d=0.121238 t=379685
an 	安	c=7 d=1.24862e-24 t=379685
an 	岸	c=1 d=0 t=379685
an 	按	c=82 d=0.134002 t=379685
an 	暗	c=2 d=6.33955e-80 t=379685
an 	案	c=1 d=0 t=379685
an 	菴	c=1 d=0 t=379685
an an jing jing 	安安靜靜	c=1 d=0 t=379685
an dai fa 	按代發	c=1 d=1 t=52143
an fang 	安防	c=1 d=0 t=379685
an fen 	安份	c=2 d=1.61132e-22 t=379685
an ge 	安格	c=0 d=6.7101e-212 t=379685
an hao 	安好	c=1 d=1 t=84720
an hui 	安徽	c=3 d=2.12517e-104 t=379685
an hui sheng 	安徽省	c=0 d=0 t=379685
an hui sheng nan chang 	安徽省南昌	c=1 d=0 t=379685
an ji 	安吉	c=6 d=6.54711e-107 t=379685
an ji lu 	安吉路	c=3 d=2.04526e-105 t=379685
an jian 	安檢	c=6 d=9.22554e-15 t=379685
an jian 	按鍵	c=31 d=3.59285e-17 t=379685
an jiao 	暗礁	c=1 d=1.11117e-93 t=379685
an jiao 	暗角	c=1 d=1.44053e-147 t=379685
an jie 	按揭	c=3 d=1.48156e-07 t=379685
an jing 	安靜	c=7 d=5.19072e-22 t=379685
an li 	安利	c=2 d=8.18844e-32 t=379685
an li 	案例	c=10 d=0.000934966 t=379685
an lian 	暗戀	c=1 d=0 t=379685
an mo 	按摩	c=1 d=3.03915e-137 t=379685
an mo shi 	按摩室	c=1 d=3.05437e-136 t=379685
an na 	安娜	c=13 d=1.28994e-17 t=379685
an neng 	安能	c=1 d=1 t=79280
an ning 	安寧	c=1 d=3.84251e-72 t=379685
an niu 	按鈕	c=115 d=0.238115 t=379685
an pai 	安排	c=27 d=9.66428e-11 t=379685
an qi 	按期	c=2 d=1.97045 t=48447
an quan 	安全	c=160 d=1.73575 t=379685
an quan xian 	安全險	c=1 d=1 t=54442
an quan xing 	安全性	c=5 d=2.01821e-26 t=379685
an se 	暗色	c=1 d=3.63854e-283 t=379685
an shang 	岸上	c=1 d=0 t=379685
an shi 	按時	c=1 d=1 t=28035
an shi 	暗示	c=1 d=0 t=379685
an tu sheng 	安徒生	c=3 d=2.08768e-97 t=379685
an wei 	安慰	c=2 d=5.72865e-35 t=379685
an wen 	安穩	c=1 d=5.30103e-181 t=379685
an xia 	按下	c=7 d=1.25552e-30 t=379685
an xin 	安心	c=5 d=1.16461e-28 t=379685
an xu 	按需	c=6 d=3.9292e-11 t=379685
an yang 	安陽	c=31 d=1.72402e-47 t=379685
an yue 	按月	c=2 d=6.46746e-256 t=379685
an zhao 	按照	c=62 d=0.035146 t=379685
an zhi 	安之	c=1 d=1 t=55205
an zhi 	安置	c=0 d=0 t=379685
an zhi fang 	安置房	c=1 d=0 t=379685
an zhu 	按住	c=1 d=0 t=379685
an zhuang 	安裝	c=322 d=0.831104 t=379685
an zhuo 	安卓	c=4 d=4.70316e-38 t=379685
an zhuo ban 	安卓版	c=1 d=0 t=379685
ang 	昂	c=4 d=1.41604e-63 t=379685
ang ke wei 	昂克威	c=2 d=1.53211e-225 t=379685
ang si 	盎司	c=2 d=2.46505e-26 t=379685
ang zang 	骯髒	c=1 d=6.70647e-183 t=379685
ao 	凹	c=10 d=5.66971e-31 t=379685
ao 	奧	c=1 d=1.63806e-100 t=379685
ao 	熬	c=5 d=1.04358e-90 t=379685
ao 	襖	c=1 d=1.27421e-86 t=379685
ao di 	奧迪	c=5 d=3.33544e-201 t=379685
ao lin 	奧林	c=1 d=1 t=379640
ao men 	澳門	c=4 d=6.90478e-26 t=379685
ao tou jing 	凹透鏡	c=1 d=1 t=41171
ao ye 	熬夜	c=1 d=4.31857e-05 t=379685
ao yuan 	澳元	c=2 d=0 t=379685
ao yun hui 	奧運會	c=1 d=1 t=63463
ao zhou 	澳洲	c=2 d=0 t=379685
ba 	八	c=9 d=6.03711e-05 t=379685
ba 	吧	c=1405 d=1.6469 t=379685
ba 	壩	c=2 d=1.31822 t=14925
ba 	巴	c=5 d=1.18209e-115 t=379685
ba 	扒	c=1 d=8.72302e-217 t=379685
ba 	把	c=552 d=1.08068 t=379685
ba 	拔	c=9 d=4.25006e-12 t=379685
ba 	爸	c=11 d=8.21775e-74 t=379685
ba 	疤	c=1 d=3.10073e-78 t=379685
ba 	霸	c=1 d=0 t=379685
ba ba 	巴巴	c=5 d=1.10522e-118 t=379685
ba ba 	爸爸	c=22 d=7.56298e-09 t=379685
ba ba ma ma 	爸爸媽媽	c=2 d=0 t=379685
ba bai 	八百	c=0 d=0 t=379685
ba bai yuan 	八百元	c=1 d=0 t=379685
ba cao 	拔草	c=1 d=8.01817e-167 t=379685
ba chu 	拔出	c=1 d=8.5128e-136 t=379685
ba da 	八大	c=1 d=1.30548e-136 t=379685
ba dao 	霸道	c=2 d=1.0444e-158 t=379685
ba dian 	八點	c=1 d=1.7532e-252 t=379685
ba diao 	八調	c=1 d=8.03735e-142 t=379685
ba diao 	拔掉	c=2 d=1.38747e-88 t=379685
ba er 	八二	c=1 d=0 t=379685
ba fa 	拔髮	c=1 d=0 t=379685
ba fang 	八方	c=3 d=1.03144e-63 t=379685
ba fang ni 	八方你	c=2 d=4.56137e-119 t=379685
ba fei te 	巴菲特	c=1 d=1 t=106003
ba fen 	八分	c=0 d=3.99694e-301 t=379685
ba fen bao 	八分飽	c=1 d=4.01697e-300 t=379685
ba gen 	拔根	c=29 d=1 t=379489
ba gong 	八公	c=3 d=5.79214e-08 t=379685
ba gua 	八卦	c=3 d=2.37723e-120 t=379685
ba he 	八核	c=1 d=1 t=95045
